Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Unsatisfied,333,Yes,No,0,0,12813,1.33,0,0,4,Yes,1,0,8,4,0,0,0,41.67,375,6,8,No
Somewhat Satisfied,334,No,No,0,0,32124,1.67,0.42,0.13,2,No,1,0,9,5,0,0,0,203.9,2039,,,No
Unsatisfied,335,No,No,0,0,62124,2.5,0.83,0.13,9,No,1,0,26,10,0,0,0,1445.22,39021,8,8,Yes
Satisfied,336,No,No,0,0,12462,1.67,0,0,2,No,1,0,9,5,0,0,0,2144.6,21446,10,8,Yes
Satisfied,337,Yes,No,0,0,80895,0.8,12.27,1.52,3,No,1,0,20,4,61,16,3,177.05,3718,1,3,Yes
Unsatisfied,338,No,No,0,0,56574,0,39.72,7.02,0,No,1,0,15,0,0,0,0,1692.69,27083,9,7,Yes
Unsatisfied,339,No,No,0,0,14334,0.33,0.87,0.61,1,No,1,0,10,1,0,0,0,65.36,719,6,5,No
Satisfied,340,No,No,0,0,9558,8,5.11,5.34,8,Yes,1,0,13,8,0,0,0,24.07,337,8,Don't know,No
Somewhat Satisfied,341,Yes,No,0,0,30951,5,5.77,1.86,8,Yes,1,0,15,15,1,1,1,185.94,2975,3,9,Yes
Satisfied,342,No,No,0,0,4230,1,14.66,34.66,1,Yes,1,0,11,2,0,0,0,137.92,1655,6,5,Yes
Unsatisfied,343,No,No,0,0,,0,,,0,No,1,0,0,0,0,0,0,,,9,7,No
Satisfied,344,No,No,0,0,16476,1,2.85,1.73,3,No,1,0,15,3,2,1,1,37.75,604,0,Don't know,No
Somewhat Satisfied,345,No,No,0,0,25785,0.67,0.04,0.02,2,No,1,0,8,2,0,0,0,244.44,2200,3,3,Yes
Somewhat Satisfied,346,No,No,0,0,10704,1.33,7.7,7.2,2,No,1,0,9,4,0,0,0,906.4,9064,9,6,Yes
Somewhat Satisfied,347,No,No,0,0,4104,0.75,0.14,0.33,3,No,1,0,6,3,0,0,0,41.57,291,7,8,No
Satisfied,348,No,No,0,0,26476,3.5,11.18,4.22,6,Yes,1,0,17,7,0,0,0,78.33,1410,7,8,No
Satisfied,349,No,No,0,0,17586,1.67,0.12,0.07,4,No,1,0,10,5,0,0,0,1049.36,11543,4,5,No
Unsatisfied,350,No,No,0,0,8451,0.67,0.53,0.63,1,No,1,0,5,2,0,0,0,1217,7302,5,,No
Satisfied,351,No,No,0,0,3120,0.25,1.18,3.78,1,Yes,1,0,3,1,0,0,0,239.75,959,8,8,No
Satisfied,352,No,No,0,0,47040,1.33,9.55,2.03,3,No,1,0,7,4,2,1,1,142.25,1138,10,9,Yes
Satisfied,353,No,No,0,0,16079,0.75,26.6,16.54,2,No,1,0,17,3,0,0,0,195.39,3517,6,5,Yes
Somewhat Satisfied,354,Yes,No,0,0,29220,1,0.41,0.14,3,No,1,0,7,3,0,0,0,71.63,573,6,5,No
Somewhat Satisfied,355,No,No,0,0,5562,3,5.41,9.72,3,No,1,0,1,3,0,0,0,42,84,Don't know,8,No
Satisfied,356,No,No,0,0,11196,0.67,22.16,19.79,2,Yes,1,0,4,2,0,0,0,51.6,258,6,10,No
Unsatisfied,357,No,No,0,0,5436,0.33,6.88,12.65,1,No,1,0,3,1,0,0,0,105.5,422,0,Don't know,No
Unsatisfied,358,No,No,0,0,,0,,,0,No,1,0,7,0,0,0,0,40.5,324,5,Don't know,No
Unsatisfied,359,No,No,0,0,20937,0.67,45.53,21.75,2,No,1,0,13,2,21,11,3,127.29,1782,6,2,Yes
Unsatisfied,360,No,No,0,0,,6,,,6,Yes,1,0,16,6,0,0,0,0,0,5,7,No
Unsatisfied,361,Yes,No,0,0,17061,3.67,3.23,1.9,7,No,1,0,16,11,0,0,0,221.65,3768,5,5,No
Somewhat Satisfied,362,Yes,No,0,0,2572,2,38.01,147.73,3,Yes,1,0,4,4,0,0,0,99,495,,,No
Somewhat Satisfied,363,No,No,0,0,18496,0.5,0.29,0.16,2,No,1,0,9,2,0,0,0,130.2,1302,7,7,No
Somewhat Satisfied,364,Yes,No,1,4,73612,1.75,6.77,0.92,5,Yes,1,0,19,7,1,1,1,1335.7,26714,7,9,Yes
Satisfied,365,No,No,0,0,39120,2.33,0.17,0.04,7,Yes,1,0,12,7,0,0,0,43,559,6,10,Yes
Somewhat Satisfied,366,No,No,0,0,8892,1.33,3.45,3.88,4,Yes,1,0,10,4,0,0,0,51.18,563,5,5,Yes
Somewhat Satisfied,367,Yes,No,1,1,3991,1,1.71,4.27,1,No,1,0,9,1,0,0,0,39.3,393,7,7,Yes
Satisfied,368,No,No,0,0,6248,0,1.23,1.96,0,No,1,0,11,0,0,0,0,24.42,293,Don't know,,Yes
Satisfied,369,No,No,0,0,12426,1,0.09,0.08,3,Yes,1,0,7,3,0,0,0,550,4400,10,8,Yes
Satisfied,370,No,Yes,1,1,419,0,0.42,9.98,0,No,1,0,2,0,0,0,0,,,6,10,No
Unsatisfied,371,No,No,0,0,6321,2,0.06,0.09,2,No,1,0,6,2,0,0,0,93.29,653,0,Don't know,No
Unsatisfied,372,Yes,No,0,0,31581,5.33,61.74,19.55,7,Yes,1,0,15,16,0,0,0,126.5,2024,4,7,Yes
Unsatisfied,373,No,No,0,0,8319,7,4.59,5.51,7,No,1,0,12,7,0,0,0,198.62,2582,4,Don't know,Yes
Unsatisfied,374,No,No,0,0,51537,3.67,186.82,36.25,7,No,1,0,21,11,0,0,0,60.91,1340,5,Don't know,Yes
Satisfied,375,No,No,0,0,,0,,,0,No,1,0,5,0,0,0,0,30,180,9,Don't know,No
Somewhat Satisfied,376,No,No,0,0,522,0,0,0,0,No,1,0,1,0,0,0,0,4,8,7,7,No
Satisfied,377,No,No,0,0,9909,1.33,0.07,0.07,2,No,1,0,8,4,0,0,0,206.89,1862,8,8,No
Satisfied,378,No,No,0,0,14151,1.33,0.07,0.05,4,No,1,0,11,4,0,0,0,135.92,1631,9,8,Yes
Somewhat Satisfied,379,No,No,0,0,40743,4,43.5,10.68,11,Yes,1,0,23,12,0,0,0,42.13,1011,2,4,No
Unsatisfied,380,No,No,0,0,18852,2,13.03,6.91,3,No,1,0,8,6,0,0,0,113.33,1020,8,5,No
Somewhat Satisfied,381,No,No,0,0,17269,0,31.12,18.02,0,No,1,0,14,0,0,0,0,27.53,413,5,7,Yes
Satisfied,382,No,No,0,0,3912,0,1.06,2.71,0,No,1,0,3,0,0,0,0,8,32,10,10,No
Satisfied,383,No,No,0,0,8148,0.67,0.39,0.48,1,No,1,0,7,2,1,1,1,375.5,3004,10,Don't know,No
Somewhat Satisfied,384,No,No,0,0,2652,3.33,1.01,3.82,5,No,1,0,12,10,0,0,0,1093.85,14220,8,6,No
Somewhat Satisfied,385,No,No,0,0,24429,1.67,2.03,0.83,2,No,1,0,18,5,0,0,0,89.05,1692,7,7,Yes
Satisfied,386,Yes,No,0,0,12636,0.67,0,0,2,No,1,0,12,2,0,0,0,61.69,802,8,8,Yes
Somewhat Satisfied,387,No,No,0,0,20692,1,0.22,0.11,3,No,1,0,8,4,0,0,0,130.67,1176,9,Don't know,Yes
Unsatisfied,388,No,Yes,2,2,18477,2.67,88.98,48.16,6,Yes,1,0,12,8,2,1,1,157.77,2051,10,10,Yes
Satisfied,389,No,No,1,3,11001,2.67,25.58,23.25,6,Yes,1,0,10,8,0,0,0,24.82,273,8,Don't know,No
Unsatisfied,390,Yes,No,0,0,6651,0.33,9.43,14.17,1,No,1,0,5,1,5,3,3,286.17,1717,4,Don't know,Yes
Satisfied,391,No,No,0,0,37485,1,32.38,8.64,2,No,1,0,11,3,0,0,0,225.58,2707,7,5,Yes
Somewhat Satisfied,392,Yes,No,0,0,21192,2,2.87,1.35,3,No,1,0,7,6,3,2,2,48.25,386,6,Don't know,Yes
Somewhat Satisfied,393,No,No,0,0,30108,4,1.51,0.5,6,Yes,1,0,11,12,0,0,0,73.5,882,7,Don't know,Yes
Unsatisfied,394,No,No,0,0,7588,0,1,1.32,0,No,1,0,4,0,0,0,0,175,875,1,2,No
Satisfied,395,Yes,No,0,0,9750,1.67,0.43,0.44,3,No,1,0,7,5,0,0,0,91.63,733,7,Don't know,No
Unsatisfied,396,Yes,No,0,0,41262,2.33,5.22,1.26,3,No,1,0,10,7,0,0,0,229.18,2521,4,5,No
Unsatisfied,397,No,No,0,0,21051,3.33,3.6,1.71,7,Yes,1,0,18,10,2,1,1,264,5016,6,8,Yes
Somewhat Satisfied,398,No,No,0,0,18982,6,9.71,5.12,6,Yes,1,0,12,6,0,0,0,7,91,6,2,No
Satisfied,399,No,No,0,0,1494,0.67,0.36,2.43,1,No,1,0,5,2,0,0,0,472.67,2836,10,10,No
Unsatisfied,400,Yes,No,2,2,23562,1.33,12.82,5.44,2,No,1,0,17,4,2,1,1,194.89,3508,0,9,No
Somewhat Satisfied,401,No,No,0,0,4054,2,0.47,1.16,2,Yes,1,0,4,4,0,0,0,61,305,,,No
Satisfied,402,No,No,0,0,0,1,0,0,1,No,1,0,1,1,0,0,0,0,0,5,5,No
Unsatisfied,403,No,No,0,0,31677,3.33,174.82,55.19,7,No,1,0,22,10,0,0,0,292.78,6734,0,0,Yes
Unsatisfied,404,No,No,0,0,35712,1.67,5.45,1.53,4,No,1,0,12,5,0,0,0,416.69,5417,7,5,No
Unsatisfied,405,No,No,0,0,438,2,0.01,0.28,2,Yes,1,0,3,2,0,0,0,16,64,2,2,No
Unsatisfied,406,No,No,0,0,31509,3,18.03,5.72,6,Yes,1,0,20,9,0,0,0,81.62,1714,9,9,Yes
Somewhat Satisfied,407,No,No,0,0,1499,6,0.01,0.08,6,Yes,1,0,11,6,0,0,0,72.33,868,,,No
Unsatisfied,408,No,No,0,0,34101,3,5.19,1.52,7,Yes,1,0,14,9,6,6,3,597.47,8962,5,2,Yes
Satisfied,409,No,No,0,0,27402,1.33,0.28,0.1,2,No,1,0,12,4,0,0,0,56.77,738,0,10,Yes
Satisfied,410,No,Yes,0,0,1706,4,1.42,8.31,4,Yes,1,0,11,4,0,0,0,48.58,583,Don't know,7,No
Satisfied,411,No,No,0,0,18219,1,29.77,16.34,2,Yes,1,0,14,3,0,0,0,53.53,803,7,6,Yes
Somewhat Satisfied,412,No,No,0,0,70164,0.75,21.28,3.03,3,No,1,0,12,3,0,0,0,98.69,1283,3,6,No
Somewhat Satisfied,413,No,No,0,0,602,7,0.05,0.79,7,Yes,1,0,9,7,0,0,0,51.3,513,3,6,No
Somewhat Satisfied,414,No,No,0,0,53455,0.8,6.56,1.23,3,No,1,0,17,4,0,0,0,92.72,1669,5,0,Yes
Unsatisfied,415,No,No,0,0,33597,2.33,0.18,0.06,7,Yes,1,0,20,7,0,0,0,24.43,513,3,3,No
Somewhat Satisfied,416,Yes,No,1,4,10536,0.75,0,0,2,No,1,0,6,3,0,0,0,824.57,5772,3,5,No
Satisfied,417,No,Yes,0,0,3716,0.33,11.94,32.11,1,No,1,0,3,1,0,0,0,53,212,7,7,No
Satisfied,418,No,No,0,0,6936,2.33,2.82,4.06,3,Yes,1,0,3,7,0,0,0,356.5,1426,3,8,No
Unsatisfied,419,Yes,No,4+,28,50806,1.14,2.82,0.56,5,Yes,1,0,23,8,0,0,0,61.42,1474,7,5,Yes
Somewhat Satisfied,420,No,No,0,0,,0.33,,,1,No,1,0,4,1,0,0,0,3695.4,18477,Don't know,,Yes
Unsatisfied,421,No,No,0,0,11822,4,3.07,2.6,4,No,1,0,15,4,0,0,0,10.56,169,7,2,No
Unsatisfied,422,No,No,0,0,34761,4,0.54,0.16,8,Yes,1,0,14,12,0,0,0,58,870,2,5,Yes
Satisfied,423,No,No,0,0,110,0,0,0,0,Yes,1,0,1,0,0,0,0,6,12,8,Don't know,No
Somewhat Satisfied,424,No,No,0,0,13911,3.67,4.53,3.26,10,Yes,1,0,29,11,0,0,0,461.3,13839,2,7,Yes
Satisfied,425,No,No,0,0,5727,0.33,0,0,1,No,1,0,6,1,2,1,1,64.86,454,8,8,No
Somewhat Satisfied,426,Yes,Yes,0,0,9963,0.67,0.47,0.48,2,No,1,0,12,2,0,0,0,47.92,623,4,5,Yes
Unsatisfied,427,No,Yes,0,0,57508,2.25,0.87,0.15,8,Yes,1,0,11,9,0,0,0,263.58,3163,4,2,Yes
Satisfied,428,Yes,No,0,0,18603,1.67,22.79,12.25,3,No,1,0,8,5,0,0,0,141.44,1273,0,8,No
Somewhat Satisfied,429,No,No,0,0,14223,1.67,8.06,5.66,3,No,1,0,8,5,0,0,0,80.22,722,,,No
Satisfied,430,No,No,0,0,75945,3.67,19.51,2.57,8,No,1,0,17,11,0,0,0,59.28,1067,4,2,Yes
Somewhat Satisfied,431,No,No,0,0,4443,0.33,1.68,3.79,1,No,1,0,2,1,0,0,0,179,537,,,No
Somewhat Satisfied,432,Yes,No,0,0,23706,0.67,3.53,1.49,2,Yes,1,0,6,2,1,1,1,3539.43,24776,,,No
Somewhat Satisfied,433,No,No,0,0,450,0,0.06,1.32,0,No,1,0,2,0,0,0,0,50.33,151,7,5,No
Somewhat Satisfied,434,No,No,0,0,4050,1,16.07,39.68,1,No,1,0,3,2,0,0,0,101.75,407,,,No
Unsatisfied,435,No,No,0,0,39066,3,9.11,2.33,6,No,1,0,25,9,0,0,0,112.15,2916,0,Don't know,No
Satisfied,436,No,No,0,0,8763,4,3.93,4.49,4,Yes,1,0,5,4,0,0,0,29,174,5,Don't know,No
Somewhat Satisfied,437,No,No,0,0,10647,0.67,22.48,21.11,2,No,1,0,8,2,0,0,0,235.44,2119,,,No
Somewhat Satisfied,438,No,No,0,0,0,0,0,0,0,Yes,1,0,3,0,3,2,2,35917.75,143671,,,No
Somewhat Satisfied,439,No,No,0,0,2848,0,1.19,4.17,0,No,1,0,3,0,0,0,0,3.5,14,Don't know,Don't know,No
Unsatisfied,440,No,No,4+,8,44778,2.33,76.13,17,3,Yes,1,0,8,7,0,0,0,177.33,1596,7,4,Yes
Somewhat Satisfied,441,No,No,0,0,4623,1,0.11,0.24,3,Yes,1,0,6,3,0,0,0,53.71,376,3,Don't know,No
Satisfied,442,No,No,0,0,5565,0,0.07,0.13,0,No,1,0,3,0,1,1,1,34.25,137,8,7,No
Satisfied,443,No,No,0,0,8901,0,20.62,23.17,0,No,1,0,7,0,0,0,0,21.63,173,6,0,No
Unsatisfied,444,No,No,0,0,21053,2.33,7.09,3.37,5,Yes,1,0,14,7,0,0,0,2007.8,30117,0,Don't know,No
Somewhat Satisfied,445,No,No,0,0,13479,3,23.86,17.7,4,No,1,0,7,9,2,1,1,3745.5,29964,7,7,No
Unsatisfied,446,No,No,0,0,43422,2,5.19,1.2,3,No,1,0,10,6,0,0,0,143.09,1574,2,Don't know,No
Unsatisfied,447,Yes,No,0,0,1550,3,1.96,12.62,3,No,1,0,10,3,0,0,0,9,99,0,10,No
Unsatisfied,448,No,No,0,0,,0,,,0,No,1,0,5,0,0,0,0,420.17,2521,4,3,No
Satisfied,449,No,No,0,0,28467,0.33,3.03,1.06,1,No,1,0,7,1,0,0,0,85.75,686,8,8,Yes
Somewhat Satisfied,450,No,No,0,0,4903,10,1.59,3.25,10,Yes,1,0,18,10,0,0,0,40.53,770,4,Don't know,No
Somewhat Satisfied,451,No,Yes,0,0,11115,3.33,186.01,167.33,7,No,1,0,24,10,0,0,0,64.56,1614,7,Don't know,No
Satisfied,452,No,No,0,0,9111,1.67,54.79,60.12,2,No,1,0,5,5,0,0,0,231.5,1389,2,8,No
Unsatisfied,453,No,No,0,0,26208,2.67,6.07,2.31,5,Yes,1,0,17,8,2,1,1,453.78,8168,2,Don't know,Yes
Somewhat Satisfied,454,Yes,No,0,0,19195,0.4,1.46,0.76,2,Yes,1,0,4,2,0,0,0,69,345,2,3,No
Satisfied,455,No,No,0,0,25095,0.67,0.63,0.25,2,No,1,0,8,2,0,0,0,714.56,6431,9,10,Yes
Unsatisfied,456,No,No,0,0,8514,2,0.62,0.73,4,Yes,1,0,7,6,6,3,3,562.75,4502,7,10,No
Satisfied,457,No,No,0,0,9285,1.67,9.66,10.4,4,No,1,0,12,5,0,0,0,45.54,592,8,8,No
Somewhat Satisfied,458,No,No,0,0,25728,1,0,0,1,No,1,0,9,3,0,0,0,102.6,1026,,,Yes
Satisfied,459,No,No,0,0,150,1.5,2.57,170.05,2,No,1,0,5,3,0,0,0,722.5,4335,6,5,No
Unsatisfied,460,No,No,0,0,12108,1.33,7.31,6.03,4,Yes,1,0,8,4,0,0,0,457.33,4116,7,5,No
Somewhat Satisfied,461,Yes,No,0,0,12855,1.33,8.42,6.55,4,Yes,1,0,8,4,0,0,0,137.56,1238,8,6,No
Unsatisfied,462,No,No,0,0,21918,3.33,19.05,8.69,10,Yes,1,0,16,10,2,1,1,56.24,956,8,5,No
Unsatisfied,463,No,No,0,0,16800,0.67,0.76,0.45,1,No,1,0,8,2,0,0,0,1973.78,17764,0,1,Yes
Satisfied,464,No,No,0,0,11973,0.67,0.13,0.11,1,No,1,0,7,2,0,0,0,774,6192,4,10,No
Satisfied,465,No,No,0,0,16830,0.67,4.51,2.68,2,No,1,0,7,2,0,0,0,395.75,3166,10,10,No
Satisfied,466,Yes,Yes,0,0,13479,0,10.2,7.57,0,No,1,0,4,0,0,0,0,24.8,124,10,9,No
Somewhat Satisfied,467,No,No,0,0,9552,0.67,1.6,1.68,2,No,1,0,8,2,0,0,0,56.56,509,,,No
Unsatisfied,468,No,No,2,4,45159,3,31.85,7.05,7,Yes,1,0,14,9,1,1,1,354.53,5318,6,2,Yes
Unsatisfied,469,No,No,0,0,4171,2,5.02,12.02,2,No,1,0,4,2,0,0,0,20,100,1,1,No
Somewhat Satisfied,470,No,No,0,0,4713,1,0.17,0.36,2,No,1,0,7,3,0,0,0,89.25,714,7,7,No
Unsatisfied,471,No,No,0,0,9555,2.33,81.39,85.17,4,No,1,0,11,7,0,0,0,1114.25,13371,5,3,Yes
Unsatisfied,472,No,No,0,0,188,1,0,0,1,No,1,0,2,1,0,0,0,3,9,0,0,No
Satisfied,473,No,No,0,0,24107,1,0.57,0.24,2,No,1,0,12,3,0,0,0,58.31,758,8,7,No
Unsatisfied,474,No,No,0,0,14426,10,1.85,1.29,10,Yes,1,0,22,10,0,0,0,50.57,1163,7,8,No
Satisfied,475,No,No,0,0,53744,1.25,3.23,0.6,5,Yes,1,0,17,5,0,0,0,77.11,1388,2,5,Yes
Satisfied,476,No,No,1,4,59124,1.5,8.87,1.5,5,Yes,1,0,13,6,0,0,0,355.64,4979,8,3,No
Unsatisfied,477,No,No,0,0,50553,0.67,13.31,2.63,2,No,1,0,10,2,0,0,0,420.36,4624,Don't know,Don't know,No
Satisfied,478,No,No,0,0,6234,3,0,0,6,Yes,1,0,9,6,0,0,0,22.9,229,5,Don't know,Yes
Satisfied,479,No,No,0,0,34284,1.33,12.66,3.69,4,No,1,0,14,4,0,0,0,234.2,3513,7,8,Yes
Satisfied,480,Yes,No,0,0,8838,1.67,16.13,18.24,5,No,1,0,8,5,0,0,0,380.67,3426,10,10,No
Satisfied,481,Yes,No,0,0,11754,0.5,0,0,1,No,1,0,8,1,3,3,3,2560.67,23046,8,5,No
Satisfied,482,No,No,0,0,68160,0.25,1.13,0.17,1,No,1,0,16,1,0,0,0,261.53,4446,8,8,Yes
Satisfied,483,No,No,0,0,,0.33,,,1,No,1,0,5,1,0,0,0,106.83,641,7,7,No
Satisfied,484,No,Yes,0,0,27583,7,32.48,11.77,7,Yes,1,0,24,7,0,0,0,102.28,2557,3,8,Yes
Satisfied,485,No,No,0,0,31161,1,4.86,1.56,3,No,1,0,16,3,0,0,0,21.88,372,7,Don't know,Yes
Somewhat Satisfied,486,No,No,0,0,62,4,0,0,4,Yes,1,0,5,4,0,0,0,214.67,1288,0,5,No
Somewhat Satisfied,487,No,No,0,0,28880,2.5,2.29,0.79,4,Yes,1,0,9,5,0,0,0,647.4,6474,,,No
Somewhat Satisfied,488,No,No,0,0,77424,4.67,171.72,22.18,6,No,1,0,23,14,0,0,0,144.83,3476,5,Don't know,Yes
Somewhat Satisfied,489,No,No,0,0,9765,1.33,12.62,12.92,3,No,1,0,6,4,2,2,2,390.71,2735,0,0,No
Unsatisfied,490,Yes,No,0,0,1444,4,2.44,16.91,4,No,1,0,14,4,0,0,0,143.33,2150,7,6,Yes
Satisfied,491,No,Yes,0,0,7588,0.25,4.33,5.71,1,No,1,0,4,1,0,0,0,125.2,626,6,6,Yes
Satisfied,492,No,No,1,1,2925,3,3.02,10.32,3,Yes,1,0,7,3,0,0,0,159.75,1278,9,7,Yes
Somewhat Satisfied,493,No,No,0,0,12084,4,0.22,0.18,4,No,1,0,6,4,0,0,0,15,105,9,7,Yes
Satisfied,494,No,No,0,0,20244,1,4.71,2.32,2,Yes,1,0,6,3,0,0,0,25.86,181,5,5,No
Satisfied,495,No,No,0,0,8325,0.67,0.12,0.15,2,No,1,0,5,2,0,0,0,68.67,412,8,10,Yes
Unsatisfied,496,Yes,No,0,0,10714,8,27.76,25.91,8,Yes,1,0,23,8,0,0,0,100.46,2411,6,10,Yes
Satisfied,497,No,No,0,0,32915,1,1.68,0.51,3,No,1,0,11,3,0,0,0,56.17,674,10,10,Yes
Satisfied,498,No,No,0,0,12720,0.67,0.43,0.34,2,No,1,0,6,2,2,1,1,544.57,3812,9,,No
Satisfied,499,No,No,0,0,8595,0.33,6.28,7.31,1,No,1,0,6,1,0,0,0,80.14,561,10,Don't know,No
Satisfied,500,No,Yes,0,0,6915,0.67,3.76,5.44,1,Yes,1,0,7,2,0,0,0,1308.5,10468,5,7,Yes
Satisfied,501,No,No,0,0,53322,1,134.4,25.2,3,Yes,1,0,11,3,0,0,0,88.83,1066,7,7,No
Somewhat Satisfied,502,No,No,0,0,205115,1.4,23.24,1.13,6,No,1,0,29,7,2,1,1,126.47,3794,5,Don't know,Yes
Satisfied,503,No,No,0,0,9552,1.67,0.13,0.14,4,No,1,0,13,5,2,1,1,19.07,267,1,7,Yes
Somewhat Satisfied,504,No,No,0,0,25308,1.67,1.47,0.58,4,No,1,0,9,5,0,0,0,59.2,592,Don't know,Don't know,Yes
Satisfied,505,No,No,1,1,2099,8,0,0,8,Yes,1,0,9,8,0,0,0,21.9,219,10,9,Yes
Satisfied,506,No,No,0,0,7298,1,0,0,2,No,1,0,6,2,0,0,0,25.57,179,1,6,Yes
